あ	い	う	え	お	か	き	く
上	悲	辛	分	代	救	率	末
千	宮	物	多	達	目	市	家
統	合	事	世	黙	種	武	器
挑	血	筋	貴	陰	独	立	偉
手	痛	敗	向	豊	水	緑	美
荒	迎	全	部	隊	取	罪	賢
光	殿	阻	止	英	雄	強	背
隣	未	開	族	切	従	現	弱
復	活	受	猛	誇	滅	亡	古
高	度	絶	動	塔	司	祭	失
追	込	包	囲	所	突	散	残
選	命	布	歩	盗	仰	心	着
生	足	移	文	明	望	時	平
和	支	配	激	界	秘	野	乱
匹	帯	難	関	打	倒	死	槍
弓	斧	民	位	先	利	兄	濆
信	真	正	義	忠	誠	臣	婚
礼	廷	伯	伝	説	炎	紋	章
景	反	爵	蒼	卿	侯	斯	記
録	初	写	消	第	町	隷	天
空	駆	遠	征	連	去	嘆	紅
縛	墓	謎	再	奪	回	落	帰
還	壇	制	圧	病	終	編	相
商	勝	負	続	表	示	賞	怖
然	異	壊	護	熱	譏	各	装
妹	安	貨	侵	玉	座	準	鉄
銀	屋	百	封	印	盾	凡	間
橋	ヶ	脱	防	壮	冷	昔	途
官	黄	狂	志	希	重	栄	発
歴	語	味	体	令	精	鋭	邪
恊	接	完	政	緒	節	砂	漠
府	太	陽	当	党	本	能	少
作	幸	理	新	夫	逃	略	不
永	参	惨	減	成	共	訪	誘
感	与	挟	長	具	坦	急	由
耳	産	棒	視	超	仲	変	務
償	売	買	声	教	恋	員	服
修	屈	注	巨	情	馬	徒	森
得	機	軽	経	験	昇	格	扱
有	若	涙	効	特	殊	離	存
在	呪	仕	御	興	蛮	化	外
抵	抗	処	刑	掃	陛	獄	可
個	室	形	択	引	控	旗	密
林	掘	設	赤	短	乗	卑	劣
友	逆	派	遣	拠	踊	迷	疾
比	学	伐	福	限	議	営	被
果	保	害	期	埋	閑	岩	別
想	像	雲	眠	料	拝	転	陣
崩	衛	息	類	脈	実	憶	非
術	郊	鋼	継	承	談	遺	増
磨	[活]	孤	児	風	結	尽	諸
浪	魅	否	定	留	戻	請	流
側	任	僧	侶	称	号	念	忘
涯	妻	災	頼	姿	甲	申	遊
委	射	良	弔	漁	師	捨	雑
託	娘	告	赴	予	裂	努	燎
役	仮	面	暮	我	堂	腕	輩
導	業	創	史	績	敬	応	計
了	/	規	模	報	皆	払	混
双	口	降	伏	改	革	幅	侮
悔	毎	牢	虜	肉	到	却	妃
倍	迫	求	職	魂	紙	標	通
供	許	局	送	絡	孫	扉	約
束	万	左	右	峠	闇	稼	嫁
走	台	握	宣	覇	唱	怒	咸
付	頃	盛	衰	徴	低	牙	没
鈍	細	拓	勃	川	募	陥	呼
起	誕	権	泣	欲	河	音	返
段	階	功	況	頭	貌	車	式
檄	寸	探	憐	廃	酷	私	囚
君	造	訳	組	授	誓	早	郎
固	[我]	[手]	品	挙	総	危	猟
雇	寄	顔	捜	等	裏	為	働
預	謀	犬	堅	容	態	置	腹
次	勢	深	刻	図	朝	葉	延
覚	悟	怪	巻	丈	影	腰	抜
序	舞	誰	獅	刃	霊	巫	首
片	貸	聞	険	住	柄	昼	楽
係	借	甥	荷	閉	善	積	晴
証	益	困	逝	確	責	満	惜
渉	交	泥	条	憎	答	調	価
値	犠	牲	誉	裔	直	抱	居
招	労	押	簡	案	傷	砕	至
隠	認	易	幼	端	育	線	己
哀	契	優	雅	毒	差	厚	更
叩	画	障	便	罰	広	顧	属
暦	虐	宰	狩	油	角	吟	詩
往	拡	里	拍	駐	維	問	題
過	番	帚	汚	胎	謝	慕	奇
跡	赦	蜂	額	展	恥	孝	肩
雷	禁	管	臨	投	周	単	矢
儀	弾	床	拒	貿	富	歓	群
凱	旋	鳥	春	辞	典	毛	根
旧	余	温	姪	基	練	微	笑
湖	妙	試	躍	快	婦	冗	木
芸	糸	衣	惑	庶	咲	花	清
尊	因	夜	甘	弁	汗	誤	件
校	例	紫	船	級	字	悧	貧
拷	考	沖	歯	収	及	驚	[頼]
浮	『	』	館	食	色	農	飢
勲	潔	荘	渓	孃	虫	監	笨
杯	庭	副	夢	点	雨	渡	横
警	祈	撤	素	辱	頑	工	痕
洒	青	補	故	郷	佐	壁	玄
介	論	[決]	律	偽	暴	飼	程
